ec_number,parameter,unit,source,count,minimum,q25,median,q75,maximum
4.2.1.1,Activation constant,M,SABIO-RK aggregate,50,3e-08,1.125e-05,2.7e-05,4.16e-05,4.72e-05
4.2.1.1,Kd,M,SABIO-RK aggregate,5,2e-14,4e-12,7.699999999999999e-11,0.0014,0.003
4.2.1.1,Ki,M,SABIO-RK aggregate,16,1.6e-08,6.45e-05,0.000985,0.035500000000000004,0.22
4.2.1.1,Km,M,SABIO-RK aggregate,35,0.0006,0.0019500000000000003,0.0076,0.009000000000000001,0.024399999999999998
4.2.1.1,Vmax,M*s^(-1),SABIO-RK aggregate,14,0.0025,0.00355,0.01,0.0184,0.023
4.2.1.1,concentration,M,SABIO-RK aggregate,140,0.0,1.0000000000000001e-07,0.0017,0.0017,0.1
4.2.1.1,kcat,s^(-1),SABIO-RK aggregate,69,5700.0,83000.0,161000.0,680000.0,4300000.0
4.2.1.1,kcat/Km,M^(-1)*s^(-1),SABIO-RK aggregate,15,5100.0,5520000.0,39000000.0,75000000.0,200000000.0
4.2.1.1,pKa,-,SABIO-RK aggregate,6,6.0,6.225,7.7,8.725000000000001,9.3
4.2.1.1,unknown,-,SABIO-RK aggregate,1,2.7,2.7,2.7,2.7,2.7
4.2.1.1,pH,dimensionless,SABIO-RK aggregate,116,6.25,7.0,7.5,7.5,9.5
4.2.1.1,temperature_c,degree_C,SABIO-RK aggregate,115,20.0,25.0,25.0,25.0,30.0
1.1.1.27,Activation constant,M,SABIO-RK aggregate,11,2e-06,4.05e-06,6.2e-06,7.749999999999999e-05,0.002
1.1.1.27,EC50,M,SABIO-RK aggregate,1,4.4999999999999996e-05,4.4999999999999996e-05,4.4999999999999996e-05,4.4999999999999996e-05,4.4999999999999996e-05
1.1.1.27,Hill coefficient,-,SABIO-RK aggregate,72,0.6,1.175,1.625,2.1,4.0
1.1.1.27,IC50,M,SABIO-RK aggregate,19,3.2e-06,8.145e-05,0.0005,0.0025,0.008
1.1.1.27,Kd,M,SABIO-RK aggregate,20,5.3e-07,7.1e-06,8.85e-05,0.000185,0.007
1.1.1.27,Ki,M,SABIO-RK aggregate,100,7e-08,1.1e-06,8.649999999999999e-05,0.00455,0.381
1.1.1.27,Km,M,SABIO-RK aggregate,525,2e-07,8.599999999999999e-05,0.0006500000000000001,0.0035,0.67
1.1.1.27,S_half,M,SABIO-RK aggregate,76,2e-06,8.675e-05,0.00026,0.007,0.056
1.1.1.27,Vmax,M,SABIO-RK aggregate,1,0.0015500000000000002,0.0015500000000000002,0.0015500000000000002,0.0015500000000000002,0.0015500000000000002
1.1.1.27,Vmax,M*s^(-1),SABIO-RK aggregate,15,3.4833333333333335e-09,1.6666666666666668e-07,1.2666666666666667e-06,1.7217500000000002e-05,0.0090435403278
1.1.1.27,Vmax,M*s^(-1)*g^(-1),SABIO-RK aggregate,7,6.0990500000000005e-06,9.69385e-06,3.677783333333333e-05,7.486781666666667e-05,0.00010151666666666668
1.1.1.27,Vmax,katal*g^(-1),SABIO-RK aggregate,58,3.7400748000000007e-07,0.00015791982500000003,0.0005983453,0.0056251125,0.10166870000000001
1.1.1.27,Vmax,mol*s^(-1)*g^(-1),SABIO-RK aggregate,145,1.2833333333333337e-06,2.656666666666667e-05,0.00014283333333333335,0.021666666666666667,0.04166666666666667
1.1.1.27,Vmax,mol*s^(-1)*mol^(-1),SABIO-RK aggregate,4,758.3333333333334,807.0833333333334,1080.0,1391.6666666666667,1556.6666666666667
1.1.1.27,Vmax,mol/s,SABIO-RK aggregate,1,1.55e-08,1.55e-08,1.55e-08,1.55e-08,1.55e-08
1.1.1.27,concentration,M,SABIO-RK aggregate,1681,0.0,2e-05,0.00033,0.003,4.27
1.1.1.27,concentration,katal*l^(-1),SABIO-RK aggregate,19,2.0000400000000003e-05,4.83343e-05,8.166830000000001e-05,0.00019000380000000003,0.0020000400000000002
1.1.1.27,concentration,mg/ml,SABIO-RK aggregate,150,6.500000000000001e-05,0.00015,0.0017,0.01,18.7
1.1.1.27,kcat,s^(-1),SABIO-RK aggregate,193,0.002,3.6,39.5,150.0,2666.6666666666665
1.1.1.27,kcat/Km,M^(-1)*s^(-1),SABIO-RK aggregate,158,0.092,990.25,12500.0,232500.0,146666666.66666666
1.1.1.27,rate const.,s^(-1),SABIO-RK aggregate,9,0.039,0.107,0.87,0.91,220.0
1.1.1.27,specific enz. activity,M*s^(-1)*g^(-1),SABIO-RK aggregate,2,2.08595e-06,2.303191666666667e-06,2.5204333333333334e-06,2.737675e-06,2.954916666666667e-06
1.1.1.27,specific enz. activity,mol*s^(-1)*g^(-1),SABIO-RK aggregate,14,1.3833333333333335e-10,0.00023083333333333335,0.00035999999999999997,0.0011120000000000001,0.005171666666666667
1.1.1.27,unknown,M^2,SABIO-RK aggregate,4,1.14e-09,1.32e-09,2.13069e-06,4.4699999999999996e-06,5.1e-06
1.1.1.27,pH,dimensionless,SABIO-RK aggregate,694,4.3,6.0,7.0,7.5,9.8
1.1.1.27,temperature_c,degree_C,SABIO-RK aggregate,617,15.0,25.0,25.0,30.0,38.0
