capsule_calcium_lactate_mol_m3,spore_density_rel,active_density_rel,lactate_mol_m3,oxygen_mol_m3,calcium_mol_m3,inorganic_carbon_mol_m3,hydrated_carbon_mol_m3,portlandite_mol_m3,calcite_mol_m3,csh_volume_fraction,biomass_carbon_mol_m3,ammonium_mol_m3,solid_fraction,healing_ratio,aperture_mm,porosity,permeability_ratio,transmissivity_ratio,sorptivity_ratio,time_d
8000.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,0.0
7563.102897046641,0.9498355597722754,0.03732982307063539,873.7796627612661,0.0007240212207053977,436.8572374712823,9.728047156327402e-06,9.72804346132453e-06,4999.9997361286605,0.04012935341684272,0.001911424825420958,0.0034903549099129585,0.0,0.0019129069001746467,0.0019129069001746467,0.2994261279299476,0.17965567675796856,0.9934377730305187,0.9942722499381689,0.9967134859278862,1.0
7150.0656785105275,0.9101239028485065,0.06435328676531561,1699.8461170653793,0.00023131460381826564,849.8725622165679,5.364607189271407e-06,5.364605151633364e-06,4999.999593116038,0.0621661568753493,0.0037184626565164767,0.005406219259351186,0.0,0.0037207586040908557,0.0037207586040908557,0.29888377241877273,0.17933026345126363,0.9872658437372005,0.9888792048111492,0.9936125219305565,2.0
6759.585310275399,0.8723043943302475,0.08964761284852578,2480.7989952404455,0.00010727842182854845,1240.3313798524266,3.859749220198812e-06,3.8597477541507734e-06,4999.9994533156905,0.08385655642082118,0.005426814267545128,0.0072922101017431126,0.0,0.0054299112944000485,0.0054299112944000485,0.29837102661167997,0.179022615967008,0.9814575027608675,0.9837985578316343,0.9906853702164313,3.0
6390.429910652744,0.8361418216805312,0.11344620646880792,3219.1019596745664,5.775231431019671e-05,1609.4652935913293,3.108167597852786e-06,3.1081664172778956e-06,4999.999314368964,0.10548138691063011,0.00704186914089427,0.00917256478941152,0.0,0.007045764825404819,0.007045764825404819,0.29788627055237854,0.17873176233142712,0.9759899562875962,0.9790112841582022,0.9879220395798427,4.0
6041.434868672701,0.8015223233295602,0.13586090255849714,3917.084216259058,3.3960341009969394e-05,1958.438870106499,2.6313796400781966e-06,2.6313786406016136e-06,4999.999175800369,0.12708542037237924,0.008568722449556943,0.011051134934958606,0.0,0.008573416023638222,0.008573416023638222,0.29742797519290853,0.17845678511574511,0.9708420037731533,0.9744996321402668,0.9853131501066822,5.0
5711.497780810849,0.768362443886283,0.1569731200846112,4576.950567434503,2.123243374609997e-05,2288.3545002848273,2.317866950320788e-06,2.3178660699256888e-06,4999.9990374171775,0.14868148708315224,0.010012197208952535,0.012929026517400622,0.0,0.01001768837837303,0.01001768837837303,0.2969946934864881,0.17819681609189283,0.9659938703594763,0.970246991790314,0.9828498717298977,6.0
5399.577548580159,0.7365915936565596,0.17685143123844685,5200.783208499031,1.3914620106878946e-05,2600.2532780013375,2.09618296376879e-06,2.0961821675758907e-06,4999.998899134361,0.1702742840475055,0.011376848224961784,0.014806641759171653,0.0,0.011383136868961797,0.011383136868961797,0.2965850589393115,0.17795103536358686,0.9614271311914002,0.9662378418289244,0.9805239064864254,7.0
5104.775575832387,0.7061505366814638,0.1955534188447265,5790.379331200594,9.810427459844755e-06,2895.0337978583498,1.9224127398241497e-06,1.922412009634371e-06,4999.998760939947,0.191865369224122,0.012666606855733304,0.016684112316249278,0.0,0.012673692911092344,0.012673692911092344,0.2961978921266723,0.17771873527600338,0.9571258393166524,0.9624587530625988,0.978328083679832,8.0
4825.98420294309,0.6769651511505386,0.21315235514272007,6347.954254738328,7.5574286862219454e-06,3173.8037193218875,1.7826602656796182e-06,1.7826595885720037e-06,4999.998622841174,0.21345489375607712,0.013886319112123985,0.01856145012316064,0.0,0.013894202521203644,0.013894202521203644,0.29583173924363887,0.17749904354618334,0.9530713570776473,0.958893856767481,0.9762537360121329,9.0
4562.4190788852065,0.6489860614033383,0.22969624839870162,6875.076680833808,5.9145680630799175e-06,3437.3473925220947,1.6680240322511157e-06,1.668023398685767e-06,4999.998484808222,0.23504378438462992,0.015039416529877236,0.020438734992057967,0.0,0.015048097269265917,0.015048097269265917,0.2954855708192202,0.17729134249153214,0.9492500753907982,0.9555316363166094,0.9742946553229153,10.0
4313.248477562849,0.6221633947800658,0.24523289989560967,7373.410061611976,4.6970168785151025e-06,3686.496543402342,1.5855581084828246e-06,1.5855575062404967e-06,4999.998346816196,0.2566322185185597,0.016129537910662545,0.02231598296318894,0.0,0.01613901596350079,0.01613901596350079,0.2951582952109498,0.17709497712656985,0.9456479687016136,0.9523601519237406,0.9724443267877158,11.0
4077.686153973226,0.5964493433155925,0.25980807707683157,7844.526887035312,3.785579875070553e-06,3922.037416835604,1.5151203433855672e-06,1.5151197678976062e-06,4999.998208855832,0.27822033524024237,0.017160123076367148,0.024193204379181772,0.0,0.01717039843093215,0.01717039843093215,0.29484888047072033,0.1769093282824322,0.9422519186637729,0.9493682102328302,0.9706966151500545,12.0
3854.9888457922016,0.5717980797100838,0.27346560002540643,8289.913681719976,3.0913742130200168e-06,4144.713275060874,1.4540528353087203e-06,1.454052283016023e-06,4999.99807092092,0.29980822590686074,0.018134423799659138,0.026070406953017468,0.0,0.018145496447602133,0.018145496447602133,0.29455635106571937,0.1767338106394316,0.9390496488912993,0.9465453132124187,0.969045741382366,13.0
3644.453907600509,0.5481656726225437,0.28624742340195647,8710.975736483633,2.5567344156826544e-06,4355.2267634426535,1.4006813901869773e-06,1.400680858166349e-06,4999.997933007006,0.32139594972782504,0.0190555141542478,0.027947595687758273,0.0,0.019067384089406773,0.019067384089406773,0.29427978477317795,0.17656787086390677,0.9360296649561634,0.9438816109037287,0.9674862608617051,14.0
3445.4170375822896,0.5255100063394638,0.29819371682187795,9109.041654943718,2.1421486674433652e-06,4554.242183759454,1.3537071229235461e-06,1.3537066087451475e-06,4999.997795110727,0.34298354741815457,0.019926300460577515,0.029824774010894093,0.0,0.019938967678294152,0.019938967678294152,0.2940183096965117,0.17641098581790704,0.9331811986793119,0.9413678572768623,0.9660130427066251,15.0
3257.250248969892,0.5037907074622208,0.30934293684496755,9485.367410623712,1.814884856818636e-06,4742.38752274781,1.3121068322786886e-06,1.312106333901323e-06,4999.997657229518,0.36457105266117174,0.020749530160756757,0.03170194476243552,0.0,0.020762994657616756,0.020762994657616756,0.29377110160271497,0.176262660961629,0.9304941585545591,0.9389953709011808,0.9646212513492325,16.0
3079.3598930568483,0.4829690736812595,0.31973189842897054,9841.140300929108,1.554331814205754e-06,4920.256429094806,1.27506351874604e-06,1.2750630344388313e-06,4999.9975193614,0.38615848683268417,0.02152780046787632,0.03357910973010498,0.0,0.021542062241254836,0.021542062241254836,0.2935373813276235,0.1761224287965741,0.9279590832337368,0.9367559977940507,0.9633063288662318,17.0
2911.1846011806665,0.46300799686633,0.3293958508571447,10177.483063180178,1.3474911489082282e-06,5088.41027145089,1.2419168664078037e-06,1.2419163946906837e-06,4999.997381504785,0.40774586355139636,0.02226356736983462,0.03545627004071884,0.0,0.02227862641760978,0.02227862641760978,0.29331641207471704,0.17598984724483024,0.9255670959379046,0.934642074621391,0.9620639770503335,18.0
2752.194596442882,0.443871942069932,0.33836849924861784,10495.455251168438,1.1793625415685595e-06,5247.378826700349,1.212127556650722e-06,1.2121270962484717e-06,4999.997243658344,0.4293331983247375,0.022959148640562442,0.03733342699585201,0.0,0.0229750049611851,0.0229750049611851,0.29310749851164447,0.17586449910698668,0.9233098801497832,0.9326464102993784,0.9608901498869593,19.0
2601.886426014844,0.4255267336135177,0.34668221514264197,10796.063770548322,1.0420386435100943e-06,5397.665547664498,1.1852501627527586e-06,1.185249712559345e-06,4999.997105821074,0.45092049948227086,0.023616746886185085,0.039210581281081514,0.0,0.02363340047841373,0.02363340047841373,0.2929099798564759,0.17574598791388552,0.9211795920176674,0.9307622112760654,0.9597810125323731,20.0
2459.7884109156475,0.4079397897856515,0.35436780584164806,11080.251979279266,9.288820728458667e-07,5539.742113318136,1.1609146325348853e-06,1.160914191584833e-06,4999.996967992107,0.4725077740129578,0.024238425702244097,0.04108773347196469,0.0,0.024255876565095338,0.024255876565095338,0.2927232370304714,0.17563394221828282,0.9191689260682624,0.9289831420630372,0.9587329795455366,21.0
2325.4501594184967,0.3910796846056386,0.3614549466328668,11348.92066081347,8.361080527987519e-07,5674.058915386857,1.1401978415897973e-06,1.140197408508601e-06,4999.996830169952,0.4940950246102082,0.02482615555254414,0.04296488389635244,0.0,0.02484440368513405,0.02484440368513405,0.2925466788944598,0.17552800733667587,0.9172709565654545,0.9273031870590989,0.9577426358711689,22.0
2198.4481404507246,0.37491638769069796,0.3679719446037386,11602.916877294156,7.578677873270206e-07,5801.039484939818,1.1235231038865142e-06,1.1235226771388813e-06,4999.9966923526945,0.5156822566872815,0.02538178938552814,0.0448420330617729,0.0,0.025400834787172727,0.025400834787172727,0.29237974956384816,0.1754278497383089,0.9154792073059549,0.9257167141823707,0.9568067763691658,23.0
2078.3822290527983,0.3594211227533985,0.37394587838471455,11843.040878640059,6.932047795968286e-07,5921.083946933222,1.1082015705545923e-06,1.1082011496265353e-06,4999.99655454002,0.5372694738808094,0.02590707774789408,0.046719181050641885,0.0,0.02592692041804366,0.02592692041804366,0.2922219238745869,0.17533315432475213,0.9137875946255332,0.9242184261421734,0.955922378975162,24.0
1964.873612691178,0.34456627925155053,0.37940268544368244,12070.050289917288,6.394440064629648e-07,6034.571113898062,1.0940963381101783e-06,1.09409592253971e-06,4999.996416731677,0.5588566789945758,0.026403677944476168,0.048596328094862244,0.0,0.026424317882684605,0.026424317882684605,0.2920727046351946,0.17524362278111677,0.9121903907000963,0.922803329442017,0.9550865880641903,25.0
