capsule_calcium_lactate_mol_m3,spore_density_rel,active_density_rel,lactate_mol_m3,oxygen_mol_m3,calcium_mol_m3,inorganic_carbon_mol_m3,hydrated_carbon_mol_m3,portlandite_mol_m3,calcite_mol_m3,csh_volume_fraction,biomass_carbon_mol_m3,ammonium_mol_m3,solid_fraction,healing_ratio,aperture_mm,porosity,permeability_ratio,transmissivity_ratio,sorptivity_ratio,x_mm,time_d
2.7373760506298046,0.0003421720063287256,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,0.0,0.0
90.6494450975062,0.011331180637188276,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,2.0,0.0
1104.3363174415936,0.1380420396801992,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,4.0,0.0
4949.2920040417575,0.6186615005052197,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,6.0,0.0
8160.003125938339,1.0200003907422923,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,8.0,0.0
4949.322413355985,0.6186653016694982,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,10.0,0.0
1107.0736934921204,0.13838421168651505,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,12.0,0.0
181.2988901950124,0.02266236127437655,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,14.0,0.0
1107.0736934922236,0.13838421168652795,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,16.0,0.0
4949.322413542827,0.6186653016928534,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,18.0,0.0
8160.00325021502,1.0200004062768775,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,20.0,0.0
4949.322413542827,0.6186653016928534,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,22.0,0.0
1107.0736934922236,0.13838421168652795,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,24.0,0.0
181.29889019501243,0.022662361274376555,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,26.0,0.0
1107.0736934922236,0.13838421168652795,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,28.0,0.0
4949.322413542827,0.6186653016928534,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,30.0,0.0
8160.00325021502,1.0200004062768775,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,32.0,0.0
4949.322413542827,0.6186653016928534,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,34.0,0.0
1107.0736934922236,0.13838421168652795,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,36.0,0.0
181.2988901950115,0.022662361274376437,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,38.0,0.0
1107.0736934922156,0.13838421168652695,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,40.0,0.0
4949.32241354281,0.6186653016928513,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,42.0,0.0
8160.00325021502,1.0200004062768775,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,44.0,0.0
4949.3224135428445,0.6186653016928556,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,46.0,0.0
1107.073693492231,0.1383842116865289,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,48.0,0.0
181.29889019501243,0.022662361274376555,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,50.0,0.0
1107.0736934922156,0.13838421168652695,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,52.0,0.0
4949.32241354281,0.6186653016928513,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,54.0,0.0
8160.00325021502,1.0200004062768775,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,56.0,0.0
4949.3224135428445,0.6186653016928556,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,58.0,0.0
1107.073693492231,0.1383842116865289,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,60.0,0.0
181.2988901950134,0.022662361274376677,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,62.0,0.0
1107.0736934922236,0.13838421168652795,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,64.0,0.0
4949.322413542827,0.6186653016928534,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,66.0,0.0
8160.00325021502,1.0200004062768775,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,68.0,0.0
4949.322413542827,0.6186653016928534,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,70.0,0.0
1107.0736934922236,0.13838421168652795,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,72.0,0.0
181.29889019501243,0.022662361274376555,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,74.0,0.0
1107.0736934922236,0.13838421168652795,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,76.0,0.0
4949.322413542827,0.6186653016928534,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,78.0,0.0
8160.00325021502,1.0200004062768775,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,80.0,0.0
4949.322413542827,0.6186653016928534,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,82.0,0.0
1107.0736934922236,0.13838421168652795,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,84.0,0.0
181.2988901950124,0.02266236127437655,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,86.0,0.0
1107.0736934921204,0.13838421168651505,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,88.0,0.0
4949.322413355985,0.6186653016694982,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,90.0,0.0
8160.003125938339,1.0200003907422923,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,92.0,0.0
4949.2920040417575,0.6186615005052197,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,94.0,0.0
